Format,1.0B,
Memory Length,10000,
IntpDistance,4096,
Trigger Address,4889,
Trigger Level,-9.400E-03,
Source,CH2,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,15,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,5.000E-03,
Vertical Position,4.800E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-08,
Horizontal Position,1.105E-07,
Horizontal Mode,Main,
SincET Mode,Sinc2,
Sampling Period,1.000E-09,
Horizontal Old Scale,5.000E-08,
Horizontal Old Position,1.105E-07,
Firmware,V1.09,
Mode,Detail,
Waveform Data,
-4.626500e-06,-4.00e-04,
-4.625500e-06,-4.00e-04,
-4.624500e-06,-2.00e-04,
-4.623500e-06,-4.00e-04,
-4.622500e-06,-4.00e-04,
-4.621500e-06,-8.00e-04,
-4.620500e-06,-4.00e-04,
-4.619500e-06,-8.00e-04,
-4.618500e-06,-4.00e-04,
-4.617500e-06,-8.00e-04,
-4.616500e-06,-4.00e-04,
-4.615500e-06,-4.00e-04,
-4.614500e-06,-4.00e-04,
-4.613500e-06,-4.00e-04,
-4.612500e-06,-2.00e-04,
-4.611500e-06,-4.00e-04,
-4.610500e-06,-4.00e-04,
-4.609500e-06,-4.00e-04,
-4.608500e-06,-2.00e-04,
-4.607500e-06,-2.00e-04,
-4.606500e-06,-4.00e-04,
-4.605500e-06,-4.00e-04,
-4.604500e-06,-2.00e-04,
-4.603500e-06,-2.00e-04,
-4.602500e-06,-2.00e-04,
-4.601500e-06,-4.00e-04,
-4.600500e-06,-2.00e-04,
-4.599500e-06,-8.00e-04,
-4.598500e-06,-4.00e-04,
-4.597500e-06,-2.00e-04,
-4.596500e-06,-4.00e-04,
-4.595500e-06,-4.00e-04,
-4.594500e-06,-4.00e-04,
-4.593500e-06,-4.00e-04,
-4.592500e-06,-4.00e-04,
-4.591500e-06,-4.00e-04,
-4.590500e-06,-2.00e-04,
-4.589500e-06,-4.00e-04,
-4.588500e-06,-4.00e-04,
-4.587500e-06,-8.00e-04,
-4.586500e-06,-4.00e-04,
-4.585500e-06,-4.00e-04,
-4.584500e-06,-4.00e-04,
-4.583500e-06,-8.00e-04,
-4.582500e-06,-8.00e-04,
-4.581500e-06,-4.00e-04,
-4.580500e-06,-2.00e-04,
-4.579500e-06,-2.00e-04,
-4.578500e-06,-4.00e-04,
-4.577500e-06,-2.00e-04,
-4.576500e-06,-2.00e-04,
-4.575500e-06,-4.00e-04,
-4.574500e-06,-2.00e-04,
-4.573500e-06,-4.00e-04,
-4.572500e-06,-4.00e-04,
-4.571500e-06,-8.00e-04,
-4.570500e-06,-8.00e-04,
-4.569500e-06,-4.00e-04,
-4.568500e-06,-2.00e-04,
-4.567500e-06,-2.00e-04,
-4.566500e-06,-2.00e-04,
-4.565500e-06,-4.00e-04,
-4.564500e-06,-2.00e-04,
-4.563500e-06,-4.00e-04,
-4.562500e-06,-4.00e-04,
-4.561500e-06,-2.00e-04,
-4.560500e-06,-2.00e-04,
-4.559500e-06,-4.00e-04,
-4.558500e-06,-4.00e-04,
-4.557500e-06,-4.00e-04,
-4.556500e-06,-2.00e-04,
-4.555500e-06,-4.00e-04,
-4.554500e-06,-4.00e-04,
-4.553500e-06,-4.00e-04,
-4.552500e-06,-4.00e-04,
-4.551500e-06,-4.00e-04,
-4.550500e-06,-2.00e-04,
-4.549500e-06,-2.00e-04,
-4.548500e-06,-2.00e-04,
-4.547500e-06,-4.00e-04,
-4.546500e-06,-4.00e-04,
-4.545500e-06,-4.00e-04,
-4.544500e-06,-4.00e-04,
-4.543500e-06,-2.00e-04,
-4.542500e-06,-4.00e-04,
-4.541500e-06,-4.00e-04,
-4.540500e-06,-4.00e-04,
-4.539500e-06,-4.00e-04,
-4.538500e-06,-4.00e-04,
-4.537500e-06,-4.00e-04,
-4.536500e-06,-4.00e-04,
-4.535500e-06,-4.00e-04,
-4.534500e-06,-4.00e-04,
-4.533500e-06,-2.00e-04,
-4.532500e-06,-4.00e-04,
-4.531500e-06,-4.00e-04,
-4.530500e-06,-4.00e-04,
-4.529500e-06,-2.00e-04,
-4.528500e-06,-2.00e-04,
-4.527500e-06,-4.00e-04,
-4.526500e-06,-2.00e-04,
-4.525500e-06,-4.00e-04,
-4.524500e-06,-2.00e-04,
-4.523500e-06,-4.00e-04,
-4.522500e-06,-4.00e-04,
-4.521500e-06,-4.00e-04,
